POA_NAME21,SAL_NAME21
0837,Hughes (NT)
0837,Humpty Doo
0837,Lake Bennett
0837,Livingstone
0837,Lloyd Creek
0837,Manton (NT)
0837,Marrakai
0837,Noonamah
0837,Weddell
0838,Berry Springs
0838,Blackmore
0838,Darwin River
0838,Livingstone
0838,Noonamah
0838,Southport (NT)
0838,Tumbling Waters
0838,Weddell
0839,Coolalinga
0839,Freds Pass
0839,Howard Springs
0839,McMinns Lagoon
0839,Virginia (NT)
0840,Bynoe
0840,Dundee Beach
0840,Dundee Downs
0840,Dundee Forest
0840,Rakula
0841,Berry Springs
0841,Charlotte
0841,Collett Creek
0841,Darwin River
0841,Darwin River Dam
0841,Fly Creek
0841,Livingstone
0841,Tumbling Waters
0845,Adelaide River
0845,Batchelor
0845,Coomalie Creek
0845,Eva Valley
0845,Finniss Valley
0845,Rum Jungle
0845,Stapleton
0845,Tortilla Flats
0846,Adelaide River
0846,Batchelor
0846,Litchfield Park
0846,Margaret River (NT)
0846,Robin Falls
0846,Stapleton
0846,Tortilla Flats
0847,Burrundie
0847,Douglas-Daly
0847,Edith (NT)
0847,Pine Creek (NT)
0850,Binjari
0850,Cossack (NT)
0850,Edith (NT)
0850,Emungalan
0850,Florina
0850,Katherine
0850,Katherine East
0850,Katherine South
0850,Lansdowne (NT)
0850,Manbulloo
0850,Nitmiluk
0850,Tindal
0850,Uralla (NT)
0850,Venn
0852,Cambridge Gulf
0852,Kununurra
0852,Lake Argyle
0852,Ord River
0852,Sturt Creek
0852,Anmatjere
0852,Arnold (NT)
0852,Baines
0852,Barunga
0852,Beswick
0852,Beswick Creek
0852,Binjari
0852,Birdum
0852,Borroloola
0852,Bradshaw
0852,Buchanan (NT)
0852,Bulman Weemol
0852,Burrundie
0852,Calvert (NT)
0852,Claravale
0852,Cossack (NT)
0852,Costello
0852,Creswell
0852,Daguragu
0852,Daly Waters
0852,Davenport (NT)
0852,Delamere (NT)
0852,Douglas-Daly
0852,East Arnhem
0852,Edith (NT)
0852,Elsey
0852,Emungalan
0852,Florina
0852,Flying Fox (NT)
0852,Gregory (NT)
0852,Gulung Mardrulk
0852,Gurindji
0852,Jilkminggan
0852,Kakadu
0852,Kalkarindji
0852,Katherine East
0852,Katherine South
0852,Lajamanu
0852,Lansdowne (NT)
0852,Larrimah
0852,Limmen
0852,Manbulloo
0852,Mataranka
0852,McArthur
0852,Miniyeri
0852,Nemarluk
0852,Ngukurr
0852,Nicholson (NT)
0852,Nitmiluk
0852,Numburindi
0852,Pamayu
0852,Pellew Islands
0852,Pigeon Hole
0852,Pine Creek (NT)
0852,Robinson River
0852,Sturt Plateau
0852,Tablelands (NT)
0852,Tanami (NT)
0852,Tanami East
0852,Tennant Creek
0852,Timber Creek
0852,Tindal
0852,Top Springs
0852,Uralla (NT)
0852,Venn
0852,Victoria River
0852,Warumungu
0852,West Arnhem
0852,Wilton (NT)
0852,Yarralin
0853,Lansdowne (NT)
0853,Manbulloo
0853,Tindal
0853,Uralla (NT)
0853,Venn
0854,Borroloola
0854,McArthur
0860,Tennant Creek
0860,Warumungu
0862,Camooweal
0862,Lawn Hill
0862,Nicholson (Qld)
0862,Arnold (NT)
0862,Birdum
0862,Calvert (NT)
0862,Costello
0862,Creswell
0862,Elliott (NT)
0862,McArthur
0862,Newcastle Waters
0862,Nicholson (NT)
0862,Pamayu
0862,Ranken
0862,Robinson River
0862,Tablelands (NT)
0862,Tanami East
0862,Warumungu
0870,Alice Springs
0870,Araluen (NT)
0870,Arumbera
0870,Braitling
0870,Burt Plain
0870,Ciccone
0870,Desert Springs
0870,East Side
0870,Flynn (NT)
0870,Gillen
0870,Hugh
0870,Ilparpa
0870,Irlpme
0870,Larapinta (NT)
0870,Mount Johns
0870,Ross (NT)
0870,Sadadeen
0870,Stuart (NT)
0870,The Gap (NT)
0870,Undoolya
0870,White Gums
0872,Barkly (Qld)
0872,Bedourie
0872,Birdsville
0872,Carrandotta
0872,Piturie
0872,Sturt (Qld)
0872,Toko
0872,Amata
0872,Anangu Pitjantjatjara Yankunytjatjara
0872,Commonwealth Hill
0872,Iwantja
0872,Kalamurina
0872,Kalka
0872,Kaltjiti
0872,Kanpi
0872,Macumba
0872,Mimili
0872,Murputja - Nyapari
0872,Pipalyatjara
0872,Pukatja
0872,SA Remainder
0872,Tieyon
0872,Watarru
0872,Beadell
0872,Gibson Desert North
0872,Gibson Desert South
0872,Irrunytju
0872,Kanpa
0872,Lake Wells
0872,Little Sandy Desert
0872,Mantamaru
0872,Neale
0872,Ngaanyatjarra-Giles
0872,Papulankutja
0872,Patjarr
0872,Sturt Creek
0872,Tanami (WA)
0872,Telfer
0872,Tjirrkarli
0872,Tjukurla
0872,Wanarn
0872,Warakurna
0872,Warburton (WA)
0872,Ali Curung
0872,Alpurrurulam
0872,Amoonguna
0872,Ampilatwatja
0872,Anatye
0872,Anmatjere
0872,Areyonga
0872,Arumbera
0872,Atitjere
0872,Buchanan (NT)
0872,Burt Plain
0872,Canteen Creek
0872,Chilla Well
0872,Connellan
0872,Costello
0872,Davenport (NT)
0872,Engawala
0872,Finke
0872,Flynn (NT)
0872,Ghan
0872,Gurindji
0872,Haasts Bluff
0872,Hale
0872,Hart (NT)
0872,Hermannsburg
0872,Hugh
0872,Ilparpa
0872,Imanpa
0872,Irlpme
0872,Kaltukatjara
0872,Kintore
0872,Kunparrka
0872,Lake Mackay
0872,Laramba
0872,Larapinta (NT)
0872,Mereenie
0872,Mount Johns
0872,Mount Liebig
0872,Mount Zeil
0872,Mutitjulu
0872,Namatjira
0872,Nyirripi
0872,Papunya
0872,Petermann
0872,Ranken
0872,Ross (NT)
0872,Sandover
0872,Santa Teresa
0872,Simpson (NT)
0872,Tablelands (NT)
0872,Tanami (NT)
0872,Tanami East
0872,Tara (NT)
0872,Ti Tree
0872,Titjikala
0872,Undoolya
0872,Wallace Rockhole
0872,Warumungu
0872,White Gums
0872,Willowra
0872,Wilora
0872,Wutunugurra
0872,Yuelamu
0872,Yuendumu
0872,Yulara
0873,Amoonguna
0873,Arumbera
0873,Burt Plain
0873,Connellan
0873,Flynn (NT)
0873,Hale
0873,Hugh
0873,Ilparpa
0873,Kilgariff
0873,Mount Johns
0873,Ross (NT)
0873,The Gap (NT)
0873,White Gums
0874,Braitling
0874,Burt Plain
0874,Desert Springs
0874,East Side
0874,Hale
0874,Irlpme
0874,Larapinta (NT)
0874,Mount Johns
0874,Ross (NT)
0874,Sadadeen
0874,Stuart (NT)
0874,The Gap (NT)
0874,Undoolya
0875,Araluen (NT)
0875,Braitling
0875,Burt Plain
0875,Flynn (NT)
0875,Gillen
0875,Ilparpa
0875,Irlpme
0875,Larapinta (NT)
0875,Ross (NT)
0875,The Gap (NT)
0880,East Arnhem
0880,Gapuwiyak
0880,Gunyangara
0880,Nhulunbuy
0880,Yirrkala
0885,Alyangula
0885,Anindilyakwa
0886,Jabiru
0886,Kakadu
2000,Barangaroo
2000,Chippendale
2000,Darlinghurst
2000,Dawes Point
2000,Haymarket
2000,Millers Point
2000,Pyrmont
2000,Surry Hills
2000,Sydney
2000,The Rocks (Sydney - NSW)
2000,Ultimo
2000,Woolloomooloo
2007,Camperdown (NSW)
2007,Chippendale
2007,Glebe (NSW)
2007,Haymarket
2007,Pyrmont
2007,Sydney
2007,Ultimo
2008,Camperdown (NSW)
2008,Chippendale
2008,Darlington (Sydney - NSW)
2008,Eveleigh
2008,Glebe (NSW)
2008,Haymarket
2008,Newtown (NSW)
2008,Redfern
2008,Surry Hills
2008,Ultimo
2009,Glebe (NSW)
2009,Pyrmont
2009,Sydney
2009,Ultimo
2010,Chippendale
2010,Darlinghurst
2010,Haymarket
2010,Moore Park
2010,Paddington (NSW)
2010,Potts Point
2010,Redfern
2010,Rushcutters Bay
2010,Surry Hills
2010,Sydney
2010,Woolloomooloo
2011,Darling Point
2011,Darlinghurst
2011,Edgecliff
2011,Elizabeth Bay
2011,Paddington (NSW)
2011,Potts Point
2011,Rushcutters Bay
2011,Sydney
2011,Woolloomooloo
2015,Alexandria
2015,Beaconsfield (NSW)
2015,Darlington (Sydney - NSW)
2015,Erskineville
2015,Eveleigh
2015,Mascot
2015,Newtown (NSW)
2015,Redfern
2015,Rosebery (NSW)
2015,St Peters (NSW)
2015,Waterloo (NSW)
2015,Zetland
2016,Alexandria
2016,Chippendale
2016,Darlington (Sydney - NSW)
2016,Eveleigh
2016,Moore Park
2016,Redfern
2016,Surry Hills
2016,Waterloo (NSW)
2017,Alexandria
2017,Beaconsfield (NSW)
2017,Kensington (NSW)
2017,Moore Park
2017,Redfern
2017,Rosebery (NSW)
2017,Waterloo (NSW)
2017,Zetland
2018,Alexandria
2018,Beaconsfield (NSW)
2018,Daceyville
2018,Eastlakes
2018,Kensington (NSW)
2018,Kingsford (NSW)
2018,Mascot
2018,Pagewood
2018,Rosebery (NSW)
2018,Zetland
2019,Banksmeadow
2019,Botany
2019,Eastgardens
2019,Hillsdale
2019,Mascot
2019,Matraville
2019,Pagewood
2020,Alexandria
2020,Arncliffe
2020,Botany
2020,Eastlakes
2020,Kyeemagh
2020,Mascot
2020,Pagewood
2020,Rosebery (NSW)
2020,St Peters (NSW)
2020,Tempe
2021,Bondi Junction
2021,Centennial Park (NSW)
2021,Darlinghurst
2021,Edgecliff
2021,Kensington (NSW)
2021,Moore Park
2021,Paddington (NSW)
2021,Queens Park (NSW)
2021,Randwick
2021,Redfern
2021,Rushcutters Bay
2021,Surry Hills
2021,Waterloo (NSW)
2021,Woollahra
2022,Bellevue Hill
2022,Bondi
2022,Bondi Junction
2022,Centennial Park (NSW)
2022,Queens Park (NSW)
2022,Randwick
2022,Waverley (NSW)
2022,Woollahra
2023,Bellevue Hill
2023,Bondi
2023,Bondi Beach
2023,Bondi Junction
2023,Double Bay
2023,Point Piper
2023,Rose Bay (NSW)
2023,Woollahra
2024,Bondi
2024,Bondi Junction
2024,Bronte
2024,Clovelly
2024,Queens Park (NSW)
2024,Randwick
2024,Tamarama
2024,Waverley (NSW)
2025,Bellevue Hill
2025,Bondi Junction
2025,Centennial Park (NSW)
2025,Double Bay
2025,Edgecliff
2025,Paddington (NSW)
2025,Woollahra
2026,Bellevue Hill
2026,Bondi
2026,Bondi Beach
2026,Bondi Junction
2026,Bronte
2026,Dover Heights
2026,North Bondi
2026,Rose Bay (NSW)
2026,Tamarama
2026,Waverley (NSW)
2027,Bellevue Hill
2027,Darling Point
2027,Double Bay
2027,Edgecliff
2027,Paddington (NSW)
2027,Point Piper
2027,Rose Bay (NSW)
2027,Rushcutters Bay
2027,Woollahra
2028,Bellevue Hill
2028,Darling Point
2028,Double Bay
2028,Edgecliff
2028,Point Piper
2028,Woollahra
2029,Bellevue Hill
2029,Bondi Beach
2029,Dover Heights
2029,North Bondi
2029,Point Piper
2029,Rose Bay (NSW)
2029,Vaucluse
2030,Dover Heights
2030,North Bondi
2030,Rose Bay (NSW)
2030,Vaucluse
2030,Watsons Bay
2031,Bronte
2031,Centennial Park (NSW)
2031,Clovelly
2031,Coogee (NSW)
2031,Kensington (NSW)
2031,Kingsford (NSW)
2031,Maroubra
2031,Queens Park (NSW)
2031,Randwick
2031,South Coogee
2031,Waverley (NSW)
2032,Daceyville
2032,Eastlakes
2032,Kensington (NSW)
2032,Kingsford (NSW)
2032,Maroubra
2032,Pagewood
2032,Randwick
2033,Centennial Park (NSW)
2033,Eastlakes
2033,Kensington (NSW)
2033,Kingsford (NSW)
2033,Moore Park
2033,Randwick
2033,Rosebery (NSW)
2033,Waterloo (NSW)
2033,Zetland
2034,Clovelly
2034,Coogee (NSW)
2034,Maroubra
2034,Randwick
2034,South Coogee
2035,Banksmeadow
2035,Botany
2035,Daceyville
2035,Eastgardens
2035,Eastlakes
2035,Hillsdale
2035,Kingsford (NSW)
2035,Malabar
2035,Maroubra
2035,Mascot
2035,Matraville
2035,Pagewood
2035,Randwick
2035,South Coogee
2036,Banksmeadow
2036,Chifley (NSW)
2036,Eastgardens
2036,Hillsdale
2036,La Perouse
2036,Little Bay
2036,Malabar
2036,Maroubra
2036,Matraville
2036,Pagewood
2036,Phillip Bay
2036,Port Botany
2037,Annandale (NSW)
2037,Camperdown (NSW)
2037,Chippendale
2037,Forest Lodge
2037,Glebe (NSW)
2037,Pyrmont
2037,Ultimo
2038,Annandale (NSW)
2038,Camperdown (NSW)
2038,Forest Lodge
2038,Glebe (NSW)
2038,Leichhardt (NSW)
2038,Lilyfield
2038,Rozelle
2038,Stanmore (NSW)
2039,Annandale (NSW)
2039,Balmain
2039,Lilyfield
2039,Rozelle
2040,Annandale (NSW)
2040,Haberfield
2040,Leichhardt (NSW)
2040,Lewisham (NSW)
2040,Lilyfield
2040,Petersham
2040,Rozelle
2040,Stanmore (NSW)
2040,Summer Hill (Inner West - NSW)
2041,Balmain
2041,Balmain East
2041,Birchgrove
2041,Rozelle
2042,Camperdown (NSW)
2042,Darlington (Sydney - NSW)
2042,Enmore (Inner West - NSW)
2042,Erskineville
2042,Eveleigh
2042,Marrickville
2042,Newtown (NSW)
2042,St Peters (NSW)
2042,Stanmore (NSW)
2043,Alexandria
2043,Erskineville
2043,Eveleigh
2043,Newtown (NSW)
2043,St Peters (NSW)
2044,Alexandria
2044,Arncliffe
2044,Erskineville
2044,Marrickville
2044,Mascot
2044,Newtown (NSW)
2044,St Peters (NSW)
2044,Sydenham (NSW)
2044,Tempe
2044,Wolli Creek
2045,Ashfield (NSW)
2045,Five Dock
2045,Haberfield
2045,Leichhardt (NSW)
2045,Lilyfield
2045,Summer Hill (Inner West - NSW)
2046,Abbotsford (NSW)
2046,Ashfield (NSW)
2046,Burwood (NSW)
2046,Canada Bay
2046,Chiswick
2046,Concord
2046,Croydon (NSW)
2046,Drummoyne
2046,Five Dock
2046,Haberfield
2046,Rodd Point
2046,Russell Lea
2046,Wareemba
2047,Drummoyne
2047,Russell Lea
2048,Annandale (NSW)
2048,Camperdown (NSW)
2048,Enmore (Inner West - NSW)
2048,Leichhardt (NSW)
2048,Marrickville
2048,Newtown (NSW)
2048,Petersham
2048,Stanmore (NSW)
2049,Dulwich Hill
2049,Leichhardt (NSW)
2049,Lewisham (NSW)
2049,Marrickville
2049,Petersham
2049,Stanmore (NSW)
2049,Summer Hill (Inner West - NSW)
2050,Annandale (NSW)
2050,Camperdown (NSW)
2050,Chippendale
2050,Darlington (Sydney - NSW)
2050,Forest Lodge
2050,Glebe (NSW)
2050,Newtown (NSW)
2050,Stanmore (NSW)
2050,Ultimo
2060,Cammeray
2060,Crows Nest (NSW)
2060,Kirribilli
2060,Lavender Bay
2060,McMahons Point
2060,Milsons Point
2060,Neutral Bay
2060,North Sydney
2060,Waverton
2060,Wollstonecraft
2061,Kirribilli
2061,Lavender Bay
2061,Milsons Point
2061,North Sydney
2062,Cammeray
2062,Cremorne (NSW)
2062,Crows Nest (NSW)
2062,Naremburn
2062,Neutral Bay
2062,North Sydney
2062,Northbridge (NSW)
2063,Cammeray
2063,Castlecrag
2063,Naremburn
2063,Northbridge (NSW)
2063,Willoughby (NSW)
2064,Artarmon
2064,Chatswood
2064,Greenwich
2064,Lane Cove
2064,Lane Cove North
2064,Naremburn
2064,St Leonards (NSW)
2064,Willoughby (NSW)
2065,Artarmon
2065,Cammeray
2065,Crows Nest (NSW)
2065,Greenwich
2065,Lane Cove
2065,Naremburn
2065,North Sydney
2065,Northbridge (NSW)
2065,Northwood (NSW)
2065,St Leonards (NSW)
2065,Waverton
2065,Willoughby (NSW)
2065,Wollstonecraft
2066,Artarmon
2066,Chatswood
2066,Chatswood West
2066,Greenwich
2066,Lane Cove
2066,Lane Cove North
2066,Lane Cove West
2066,Linley Point
2066,Longueville
2066,North Ryde
2066,Northwood (NSW)
2066,Riverview (NSW)
2067,Artarmon
2067,Castle Cove
2067,Chatswood
2067,Chatswood West
2067,Lane Cove North
2067,Lindfield
2067,Middle Cove
2067,North Ryde
2067,North Willoughby
2067,Roseville
2067,Willoughby (NSW)
2068,Artarmon
2068,Castle Cove
2068,Castlecrag
2068,Chatswood
2068,Middle Cove
2068,Naremburn
2068,North Willoughby
2068,Northbridge (NSW)
2068,Willoughby (NSW)
2068,Willoughby East
2069,Castle Cove
2069,Chatswood
2069,Chatswood West
2069,East Lindfield
2069,Forestville (NSW)
2069,Lindfield
2069,Middle Cove
2069,Roseville
2069,Roseville Chase
2070,Chatswood
2070,Chatswood West
2070,East Killara
2070,East Lindfield
2070,Forestville (NSW)
2070,Killara (NSW)
2070,Lindfield
2070,Macquarie Park
2070,North Ryde
2070,Roseville
2070,Roseville Chase
2071,Davidson
2071,East Killara
2071,East Lindfield
2071,Forestville (NSW)
2071,Frenchs Forest
2071,Gordon (NSW)
2071,Killara (NSW)
2071,Lindfield
2071,Macquarie Park
2071,St Ives (NSW)
2071,West Pymble
2072,East Killara
2072,Gordon (NSW)
2072,Killara (NSW)
2072,Pymble
2072,St Ives (NSW)
2072,West Pymble
2073,Gordon (NSW)
2073,Killara (NSW)
2073,Macquarie Park
2073,Pymble
2073,South Turramurra
2073,St Ives (NSW)
2073,Turramurra
2073,West Pymble
2074,Asquith
2074,Ku-ring-gai Chase
2074,Macquarie Park
2074,Marsfield
2074,Mount Colah
2074,North Epping
2074,North Turramurra
2074,North Wahroonga
2074,Pennant Hills
2074,Pymble
2074,South Turramurra
2074,St Ives (NSW)
2074,St Ives Chase
2074,Turramurra
2074,Wahroonga
2074,Warrawee
2074,West Pymble
2075,Belrose
2075,Davidson
2075,East Killara
2075,Gordon (NSW)
2075,Ku-ring-gai Chase
2075,North Turramurra
2075,Pymble
2075,St Ives (NSW)
2075,St Ives Chase
2075,Turramurra
2076,Asquith
2076,Hornsby
2076,Normanhurst
2076,North Turramurra
2076,North Wahroonga
2076,Pennant Hills
2076,South Turramurra
2076,Thornleigh
2076,Turramurra
2076,Wahroonga
2076,Waitara
2076,Warrawee
2077,Asquith
2077,Berrilee
2077,Dural (Hornsby - NSW)
2077,Galston
2077,Hornsby
2077,Hornsby Heights
2077,Mount Colah
2077,Mount Kuring-Gai
2077,Normanhurst
2077,North Turramurra
2077,North Wahroonga
2077,Thornleigh
2077,Wahroonga
2077,Waitara
2077,Westleigh
2079,Asquith
2079,Hornsby
2079,Hornsby Heights
2079,Mount Colah
2079,Mount Kuring-Gai
2079,North Turramurra
2080,Berowra
2080,Berowra Heights
2080,Berrilee
2080,Hornsby Heights
2080,Mount Colah
2080,Mount Kuring-Gai
2081,Berowra
2081,Berowra Heights
2081,Berowra Waters
2081,Brooklyn (NSW)
2081,Cowan
2081,Milsons Passage
2081,Mount Kuring-Gai
2082,Berowra
2082,Berowra Heights
2082,Berowra Waters
2082,Berrilee
2082,Canoelands
2082,Cowan
2082,Fiddletown
2082,Mount Kuring-Gai
2083,Bar Point
2083,Berowra
2083,Brooklyn (NSW)
2083,Cheero Point
2083,Cogra Bay
2083,Cowan
2083,Dangar Island
2083,Marlow
2083,Milsons Passage
2083,Mooney Mooney
2083,Mooney Mooney Creek
2083,Mount White
2083,Wondabyne
2084,Bayview (NSW)
2084,Belrose
2084,Church Point
2084,Coasters Retreat
2084,Cottage Point
2084,Duffys Forest
2084,Elvina Bay
2084,Great Mackerel Beach
2084,Ingleside
2084,Ku-ring-gai Chase
2084,Lovett Bay
2084,Morning Bay
2084,North Turramurra
2084,St Ives (NSW)
2084,St Ives Chase
2084,Terrey Hills
2085,Belrose
2085,Davidson
2085,East Killara
2085,Frenchs Forest
2085,Ingleside
2085,Ku-ring-gai Chase
2085,Oxford Falls
2085,St Ives (NSW)
2085,Terrey Hills
2086,Allambie Heights
2086,Beacon Hill
2086,Belrose
2086,Davidson
2086,East Killara
2086,Forestville (NSW)
2086,Frenchs Forest
2086,Killarney Heights
2086,Oxford Falls
2087,Allambie Heights
2087,East Killara
2087,East Lindfield
2087,Forestville (NSW)
2087,Frenchs Forest
2087,Killarney Heights
2087,Roseville Chase
2087,Seaforth (NSW)
2088,Cremorne (NSW)
2088,Cremorne Point
2088,Mosman
2089,Cammeray
2089,Cremorne (NSW)
2089,Cremorne Point
2089,Kurraba Point
2089,Neutral Bay
2089,North Sydney
2090,Cammeray
2090,Cremorne (NSW)
2090,Cremorne Point
2090,Kurraba Point
2090,Mosman
2090,Neutral Bay
2092,Allambie Heights
2092,Balgowlah
2092,Clontarf (NSW)
2092,Killarney Heights
2092,North Balgowlah
2092,Seaforth (NSW)
2093,Allambie Heights
2093,Balgowlah
2093,Balgowlah Heights
2093,Clontarf (NSW)
2093,Fairlight
2093,Manly (NSW)
2093,Manly Vale
2093,North Balgowlah
2093,North Manly
2093,Seaforth (NSW)
2094,Balgowlah
2094,Fairlight
2094,Manly (NSW)
2094,Manly Vale
2095,Fairlight
2095,Manly (NSW)
2095,Manly Vale
2095,North Manly
2095,Queenscliff (NSW)
2096,Brookvale
2096,Curl Curl
2096,Freshwater (NSW)
2096,Manly (NSW)
2096,North Curl Curl
2096,North Manly
2096,Queenscliff (NSW)
2097,Collaroy (NSW)
2097,Collaroy Plateau
2097,Cromer (NSW)
2097,Dee Why
2097,Narrabeen
2097,Wheeler Heights
2099,Beacon Hill
2099,Belrose
2099,Brookvale
2099,Collaroy (NSW)
2099,Collaroy Plateau
2099,Cromer (NSW)
2099,Curl Curl
2099,Dee Why
2099,Frenchs Forest
2099,Ingleside
2099,Narrabeen
2099,Narraweena
2099,North Curl Curl
2099,Oxford Falls
